epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.6109,1.01248,1.29267,1.06246,0.02826,0.88166,0.0278,0.01905,0.99286,inf,1.25921,0.000658824,0.000658824,0.000658824
2,103.914,0.97241,0.74587,1.03195,0.14477,0.49112,0.10862,0.06738,1.37549,7.65105,1.50088,0.00129925,0.00129925,0.00129925
3,156.001,1.02328,0.79904,1.0672,0.0027,0.04734,0.00043,0.00015,3.88889,41.0258,6.72034,0.00191327,0.00191327,0.00191327
4,204.14,0.9655,0.71645,1.03322,0.93288,0.85207,0.92484,0.67802,0.97911,1.27284,1.08991,0.0018812,0.0018812,0.0018812
5,263.476,0.94559,0.69341,1.03045,0.92032,0.73373,0.86649,0.61001,1.09942,0.83619,1.12494,0.0018416,0.0018416,0.0018416
6,316.621,0.91967,0.64488,1.00715,0.90472,0.90533,0.949,0.67526,1.02821,0.89082,1.05739,0.001802,0.001802,0.001802
7,364.308,0.88256,0.60814,0.99942,0.94708,0.84024,0.92679,0.72472,0.8658,0.84981,1.01014,0.0017624,0.0017624,0.0017624
8,415.92,0.83213,0.59423,0.98361,0.96103,0.94083,0.96313,0.72031,0.94389,0.58594,1.0117,0.0017228,0.0017228,0.0017228
9,469.373,0.81601,0.564,0.96317,0.9456,0.94675,0.97904,0.7675,0.82893,0.5575,0.96315,0.0016832,0.0016832,0.0016832
10,522.801,0.78713,0.5406,0.9548,0.96929,0.9338,0.96433,0.77065,0.7931,0.56819,0.97559,0.0016436,0.0016436,0.0016436
11,576.25,0.78939,0.52601,0.95584,0.95886,0.92899,0.97908,0.77974,0.80542,0.55343,0.96278,0.001604,0.001604,0.001604
12,629.582,0.75865,0.50798,0.94454,0.97536,0.95858,0.98544,0.79912,0.78581,0.49221,0.94968,0.0015644,0.0015644,0.0015644
13,684.705,0.76363,0.50509,0.9457,0.9636,0.98225,0.98771,0.77422,0.83935,0.66673,0.9498,0.0015248,0.0015248,0.0015248
14,737.621,0.74637,0.48917,0.94086,0.98515,0.97041,0.9922,0.80711,0.71974,0.46433,0.93137,0.0014852,0.0014852,0.0014852
15,792.505,0.72807,0.47962,0.93609,0.95323,0.98817,0.99134,0.805,0.74928,0.48383,0.92606,0.0014456,0.0014456,0.0014456
16,844.195,0.72961,0.47379,0.92483,0.93898,0.97633,0.99006,0.81098,0.73317,0.44774,0.92883,0.001406,0.001406,0.001406
17,896.293,0.71254,0.45798,0.92655,0.94664,0.9645,0.98189,0.8134,0.71556,0.47848,0.91665,0.0013664,0.0013664,0.0013664
18,944.404,0.72247,0.48101,0.92582,0.96437,0.96082,0.98973,0.80887,0.72025,0.45713,0.92662,0.0013268,0.0013268,0.0013268
19,995.451,0.71591,0.45265,0.92093,0.96407,0.97633,0.99002,0.8179,0.73292,0.47061,0.93237,0.0012872,0.0012872,0.0012872
20,1049.64,0.70799,0.45161,0.92633,0.96982,0.9645,0.99168,0.81437,0.72727,0.45547,0.92658,0.0012476,0.0012476,0.0012476
21,1102.29,0.70073,0.44776,0.9177,0.96083,0.98225,0.99235,0.82596,0.72958,0.43606,0.92854,0.001208,0.001208,0.001208
22,1159.76,0.68918,0.43577,0.9168,0.98727,0.9645,0.99221,0.82486,0.7541,0.42744,0.92359,0.0011684,0.0011684,0.0011684
23,1207.2,0.69347,0.4242,0.91646,0.98224,0.98182,0.99228,0.81962,0.69604,0.4161,0.91602,0.0011288,0.0011288,0.0011288
24,1258.52,0.65429,0.40271,0.90127,0.97289,0.97041,0.99125,0.82947,0.71872,0.43335,0.91403,0.0010892,0.0010892,0.0010892
25,1311.68,0.66525,0.412,0.90443,0.98174,0.95463,0.99187,0.80424,0.75698,0.438,0.92067,0.0010496,0.0010496,0.0010496
26,1364.8,0.66888,0.4133,0.9083,0.95948,0.98817,0.9929,0.82977,0.69351,0.38579,0.9055,0.00101,0.00101,0.00101
27,1417.91,0.67417,0.41288,0.9142,0.964,0.97041,0.99268,0.81538,0.72375,0.45037,0.91738,0.0009704,0.0009704,0.0009704
28,1469.45,0.65546,0.41192,0.91308,0.97998,0.98225,0.99381,0.83866,0.68449,0.38922,0.89486,0.0009308,0.0009308,0.0009308
29,1524.52,0.6475,0.39416,0.90173,0.98816,0.98755,0.99338,0.8482,0.69235,0.37544,0.90833,0.0008912,0.0008912,0.0008912
30,1577.94,0.64575,0.38458,0.89482,0.97633,0.97609,0.99185,0.84173,0.67094,0.37109,0.9028,0.0008516,0.0008516,0.0008516
31,1631.39,0.64659,0.3868,0.90598,0.97629,0.9645,0.99303,0.83642,0.70887,0.39745,0.91485,0.000812,0.000812,0.000812
32,1684.32,0.63161,0.38218,0.89411,0.98782,0.9601,0.99201,0.82711,0.70725,0.39949,0.89604,0.0007724,0.0007724,0.0007724
